marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Renault;Arkana;18480;2023;60113;Diesel;16021;94700
Renault;Captur;9990;2021;39212;essence;1455;32300
Renault;Arkana;8950;2024;100;essence;1314023;85000
Dacia;Spring;25290;2020;144078;Diesel;;83160
Renault;Arkana;20590;2021;81503;essence;145;83500
Volkswagen;Polo;15989;2023;18890;essence;16957;31670
Mercedes-Benz;Classe A;19490;2023;4944;hybride;2007;35510
Peugeot;e-2008;26990;2021;90091;Diesel;136;34000
Renault;Captur;22350;2020;97562;Diesel;115;83170
Citroën;C4;28990;2023;12500;essence;1308;04100
Renault;Arkana;20490;2021;48851;essence;14022;33520
Citroën;C4 X;18778;2022;33530;essence;100;11100
Renault;Megane E Tech;28400;2023;9650;essence;160;04100
Peugeot;e-2008;15990;2021;24033;essence;2008136;Super affaire
Renault;Arkana;23890;2024;2868;essence;14523;72000
Renault;Arkana;17990;2020;31530;essence;14521;77170
Peugeot;2008;17490;2023;14066;essence;20081308;10120
Renault;Clio;27990;2020;129006;essence;145;63210
Renault;Clio;14790;2021;47399;Diesel;130;65100
Renault;Captur;25990;2023;41999;essence;145;63210
Renault;Clio;24490;2022;17236;essence;14021;83500
Peugeot;208;23490;2024;12654;essence;1366;91300
Renault;Megane E Tech;40490;2019;132569;Diesel;60220;33310
Mercedes-Benz;GLA;21990;2023;24805;essence;250;54520
Audi;A3;22990;2024;5056;hybride;351507;33370
Dacia;Duster;19990;2019;51291;essence;15042;93500
Renault;Arkana;21990;2021;116406;Diesel;140;58200
Audi;A3;21980;2021;38321;essence;351507;34980
Renault;Clio;16890;2023;9451;essence;90;77186
Renault;Captur;13990;2023;21962;essence;905;40000
Renault;Megane;21480;2022;45501;essence;115;21000
Renault;Clio;35550;2021;26480;hybride;145;35400
Renault;Captur;22890;2023;16130;hybride;145;78190
Dacia;Duster;21799;2022;32045;essence;15042;50300
Renault;Captur;19990;2023;34626;essence;14521;78190
Dacia;Duster;21790;2024;9005;essence;15042;71000
Renault;Arkana;19890;2020;41587;essence;14022;89000
